<天津理工大学,153>
<嘉兴学院南湖学院,20>
<西安科技大学,26>
<郑州工业应用技术学院,11>
<昆山登云科技职业学院,10>
<闽南理工学院,45>
<江西师范大学科学技术学院,21>
<温州大学瓯江学院,20>
<广州医科大学,5>
<河北能源职业技术学院,15>
<广西师范大学,2570>
<广东科学技术职业学院,32>
<衡阳师范学院,25>
<甘肃民族师范学院,6>
<黄河科技学院,10>
<吉林师范大学博达学院,20>
<西北工业大学,39>
<湖南外国语职业学院,38>
<开封大学,15>
<恩施职业技术学院,20>
<重庆城市管理职业学院,4>
<宁德师范学院,69>
<山西传媒学院,15>
<长春师范大学,44>
<武汉纺织大学,68>
<广州民航职业技术学院,88>
<南通大学杏林学院,85>
<黑龙江中医药大学,60>
<吉林农业科技学院,74>
<北京城市学院,20>
<西南科技大学,85>
<燕京理工学院,25>
<西安石油大学,8>
<苏州经贸职业技术学院,20>
<广东女子职业技术学院,30>
<西北农林科技大学,116>
<江西外语外贸职业学院,14>
<内蒙古机电职业技术学院,44>
<宁夏医科大学,7>
<南京航空航天大学,61>
<青海师范大学,40>
<云南大学旅游文化学院,32>
<贵州财经大学商务学院,20>
<西安思源学院,26>
<金肯职业技术学院,10>
<西安邮电大学,29>
<廊坊师范学院,25>
<贵州大学明德学院,18>
<浙江树人大学,30>
<中国医科大学,35>
<大连外国语大学,49>
<黑龙江交通职业技术学院,30>
<中南大学,293>
<福州大学至诚学院,59>
<淮北师范大学,19>
<温州医科大学仁济学院,20>
<广东司法警官职业学院,15>
<阜阳师范学院,5>
<黑龙江旅游职业技术学院,25>
<上海第二工业大学,84>
<焦作大学,20>
<太原师范学院,30>
<武汉工程科技学院,53>
<浙江海洋大学东海科学技术学院,18>
<重庆邮电大学,34>
<广州体育学院,2>
<沈阳航空航天大学,29>
<沈阳师范大学,42>
<广西科技师范学院,1187>
<新余学院,35>
<重庆三峡学院,20>
<内蒙古大学,10>
<江苏大学,190>
<天津科技大学,205>
<湖北轻工职业技术学院,20>
<武汉工程大学,127>
<北方民族大学,152>
<闽江学院,163>
<聊城大学东昌学院,30>
<东北师范大学人文学院,5>
<四川中医药高等专科学校,10>
<辽宁科技学院,62>
<郑州轻工业学院,63>
<大庆职业学院,20>
<北京理工大学,47>
<湖南商务职业技术学院,30>
<五邑大学,19>
<陇东学院,29>
<西南交通大学,129>
<河北工业大学,30>
<中国矿业大学徐海学院,20>
<苏州大学,128>
<金陵科技学院,76>
<江西交通职业技术学院,5>
<宁夏大学,12>
<辽宁师范大学,74>
<承德石油高等专科学校,20>
<四川科技职业学院,5>
<大连交通大学,72>
<福州大学,129>
<山东师范大学,42>
<北京大学医学部,23>
<广西工业职业技术学院,4860>
<西南石油大学,40>
<天津外国语大学,431>
<无锡太湖学院,48>
<西南大学,42>
<桂林电子科技大学信息科技学院,862>
<四川大学,180>
<兰州财经大学,14>
<广西科技大学鹿山学院,1570>
<鞍山师范学院,40>
<江西应用科技学院,61>
<贵州商学院,20>
<西安财经学院,35>
<武汉体育学院,25>
<吉林大学,154>
<天津大学,104>
<郴州职业技术学院,10>
<湖北经济学院,30>
<湖南工程职业技术学院,26>
<重庆第二师范学院,10>
<天津医科大学临床医学院,116>
<湖南工程学院,49>
<武汉设计工程学院,43>
<包头职业技术学院,45>
<南昌大学科学技术学院,3>
<菏泽医学专科学校,10>
<陕西科技大学,20>
<北京科技职业学院,6>
<邢台学院,15>
<沈阳建筑大学,87>
<昆明医科大学海源学院,17>
<哈尔滨理工大学,200>
<北京物资学院,35>
<沈阳理工大学,30>
<陕西交通职业技术学院,10>
<天津石油职业技术学院,6>
<泰山学院,35>
<浙江经济职业技术学院,15>
<延安职业技术学院,10>
<大连海洋大学,40>
<常州工学院,65>
<天津大学仁爱学院,88>
<河北科技大学理工学院,25>
<四川国际标榜职业学院,8>
<怀化职业技术学院,10>
<扬州大学广陵学院,55>
<三亚学院,26>
<长沙理工大学城南学院,59>
<湖北大学知行学院,35>
<大连财经学院,68>
<重庆建筑工程职业学院,23>
<张家口学院,33>
<哈尔滨华德学院,20>
<江门职业技术学院,38>
<郑州大学,260>
<鹤岗师范高等专科学校,20>
<华北电力大学科技学院,40>
<南充职业技术学院,4>
<南阳理工学院,55>
<井冈山大学,15>
<济宁医学院,35>
<曲阜师范大学,85>
<福建农林大学,154>
<承德医学院,3>
<福建师范大学协和学院,34>
<华南农业大学,109>
<对外经济贸易大学,56>
<四川美术学院,7>
<黔东南民族职业技术学院,40>
<江西中医药大学科技学院,10>
<长春财经学院,25>
<常德职业技术学院,25>
<海南职业技术学院,47>
<广西民族大学,2259>
<江苏城市职业学院,10>
<广州工商学院,14>
<集美大学诚毅学院,47>
<滨州医学院,35>
<江汉大学,92>
<辽宁工业大学,76>
<河池学院,2059>
<湖南工学院,53>
<云南中医学院,26>
<湖北中医药大学,58>
<哈尔滨工业大学,85>
<广西电力职业技术学院,2194>
<湖南科技大学,117>
<济南大学,97>
<内蒙古民族大学,30>
<长沙航空职业技术学院,16>
<江西农业大学南昌商学院,4>
<广西民族师范学院,2254>
<鲁东大学,100>
<伊春职业学院,20>
<华北理工大学冀唐学院,25>
<江西科技职业学院,305>
<南京交通职业技术学院,10>
<青海大学,33>
<北京交通大学,105>
<大连东软信息学院,160>
<厦门大学,110>
<汉口学院,20>
<北京大学,26>
<荆州职业技术学院,20>
<松原职业技术学院,5>
<广西民族大学相思湖学院,1792>
<山东农业大学,68>
<保定学院,34>
<沧州医学高等专科学校,10>
<黔南民族师范学院,14>
<泉州纺织服装职业学院,28>
<北京林业大学,84>
<云南大学滇池学院,37>
<安徽中医药高等专科学校,40>
<湖南工业大学,239>
<湖北三峡职业技术学院,15>
<湖北科技学院,99>
<天津滨海职业学院,11>
<北京工商大学嘉华学院,20>
<中南财经政法大学,202>
<北京化工大学,100>
<燕山大学,50>
<厦门海洋职业技术学院,15>
<河南大学民生学院,30>
<四川农业大学,58>
<浙江长征职业技术学院,5>
<武汉体育学院体育科技学院,6>
<苏州科技大学,61>
<浙江农林大学,63>
<肇庆医学高等专科学校,36>
<沈阳科技学院,60>
<江阴职业技术学院,20>
<盐城工学院,80>
<长春金融高等专科学校,8>
<湖北国土资源职业学院,10>
<炎黄职业技术学院,33>
<长春大学,37>
<复旦大学,23>
<佛山科学技术学院,15>
<厦门大学嘉庚学院,115>
<福建农林大学东方学院,24>
<云南机电职业技术学院,2>
<温州商学院,20>
<广州工程技术职业学院,4>
<北京中医药大学东方学院,25>
<黑龙江大学,120>
<哈尔滨学院,25>
<河南农业大学,25>
<沈阳工业大学,30>
<福州外语外贸学院,47>
<通化师范学院,20>
<上海外国语大学,16>
<武汉商学院,15>
<邵阳学院,40>
<江西财经大学现代经济管理学院,50>
<齐齐哈尔医学院,32>
<大连理工大学城市学院,60>
<北京语言大学,29>
<西北政法大学,18>
<南昌职业学院,66>
<宁波工程学院,70>
<阜阳科技职业学院,5>
<山西财经大学,70>
<广东理工学院,10>
<贵州民族大学,16>
<南宁学院,3822>
<厦门理工学院,150>
<湖北大学,115>
<铜仁学院,10>
<保山学院,20>
<福建师范大学闽南科技学院,23>
<南通航运职业技术学院,25>
<南昌航空大学,68>
<湖南工业职业技术学院,90>
<北京师范大学珠海分校,63>
<九江职业大学,20>
<南京邮电大学通达学院,71>
<桂林师范高等专科学校,1956>
<清华大学,31>
<黑龙江信息技术职业学院,15>
<福州黎明职业技术学院,10>
<山东交通学院,125>
<东北林业大学,93>
<周口师范学院,19>
<云南民族大学,25>
<中南林业科技大学涉外学院,20>
<大连医科大学,12>
<辽宁何氏医学院,40>
<湖南科技大学潇湘学院,13>
<陕西服装工程学院,7>
<江苏经贸职业技术学院,18>
<江南大学,8>
<长春工程学院,62>
<南昌工程学院,62>
<武夷学院,110>
<无锡城市职业技术学院,10>
<西交利物浦大学,110>
<哈尔滨工业大学（威海）,28>
<杭州师范大学,73>
<上海理工大学,237>
<北京体育大学,25>
<南阳医学高等专科学校,5>
<咸宁职业技术学院,40>
<西安科技大学高新学院,8>
<江西财经大学,55>
<衢州学院,70>
<钟山职业技术学院,10>
<三峡大学科技学院,35>
<东华理工大学长江学院,22>
<武汉科技大学,107>
<吉林华桥外国语学院,25>
<华南理工大学广州学院,35>
<中南林业科技大学,180>
<电子科技大学中山学院,40>
<黑龙江工业学院,90>
<朝阳师范高等专科学校,10>
<浙江传媒学院,50>
<宁波诺丁汉大学,50>
<黎明职业大学,16>
<北海艺术设计学院,63>
<江西理工大学应用科学学院,16>
<浙江工商大学,80>
<铜陵学院,10>
<杭州万向职业技术学院,19>
<黑龙江农业工程职业学院,30>
<山东建筑大学,40>
<上海财经大学,40>
<河南中医药大学,13>
<永城职业学院,15>
<甘肃中医药大学,26>
<湖南师范大学,56>
<重庆工程职业技术学院,4>
<忻州师范学院,20>
<北京工业大学,49>
<贵州财经大学,20>
<上海海洋大学,151>
<杭州电子科技大学信息工程学院,20>
<浙江水利水电学院,50>
<潍坊学院,104>
<河北金融学院,40>
<黑龙江建筑职业技术学院,40>
<广东科技学院,10>
<黑河学院,20>
<电子科技大学成都学院,45>
<成都文理学院,15>
<郑州科技学院,46>
<北京第二外国语学院中瑞酒店管理学院,10>
<中央财经大学,77>
<南京中医药大学翰林学院,17>
<天津师范大学,123>
<湖北开放职业学院,9>
<青海大学昆仑学院,8>
<安徽农业大学,15>
<大连医科大学中山学院,40>
<新疆师范大学,10>
<北京理工大学珠海学院,40>
<江苏建筑职业技术学院,20>
<银川能源学院,4>
<南昌航空大学科技学院,10>
<上海海事大学,145>
<武汉商贸职业学院,35>
<广西建设职业技术学院,2783>
<华侨大学,129>
<三明职业技术学院,10>
<山西农业大学,20>
<海南经贸职业技术学院,74>
<西安交通大学,30>
<中山大学,176>
<广西中医药大学赛恩斯新医药学院,864>
<阳光学院,26>
<成都工业学院,10>
<中山火炬职业技术学院,11>
<韩山师范学院,14>
<南昌大学,134>
<北海职业学院,1578>
<浙江商业职业技术学院,40>
<无锡职业技术学院,50>
<西安交通大学城市学院,6>
<重庆工商职业学院,10>
<清远职业技术学院,5>
<成都航空职业技术学院,14>
<上海中医药大学,45>
<西安建筑科技大学华清学院,15>
<吉林医药学院,31>
<安阳工学院,15>
<四川文理学院,5>
<武汉轻工大学,75>
<西安工程大学,20>
<浙江建设职业技术学院,30>
<绍兴文理学院元培学院,20>
<广州大学松田学院,15>
<吉林铁道职业技术学院,8>
<中国民航大学,90>
<沈阳化工大学,30>
<中华女子学院,55>
<福建电力职业技术学院,3>
<广西外国语学院,2073>
<成都医学院,10>
<江西科技师范大学理工学院,21>
<广西艺术学院,88>
<湖南工艺美术职业学院,3>
<江汉艺术职业学院,10>
<湖北汽车工业学院,80>
<哈尔滨金融学院,50>
<嵩山少林武术职业学院,20>
<黑龙江林业职业技术学院,30>
<兰州理工大学,50>
<长春建筑学院,40>
<山东科技大学,100>
<华北电力大学（北京）,100>
<广东食品药品职业学院,45>
<浙江工商职业技术学院,19>
<北京石油化工学院,38>
<塔里木大学,10>
<常州大学怀德学院,65>
<中国地质大学长城学院,35>
<广州科技贸易职业学院,10>
<沈阳城市建设学院,35>
<武昌理工学院,11>
<天津财经大学珠江学院,150>
<湖南信息职业技术学院,20>
<西南政法大学,53>
<广西交通职业技术学院,3118>
<菏泽学院,20>
<江汉大学文理学院,35>
<西南民族大学,432>
<北京科技大学天津学院,102>
<广州大学华软软件学院,6>
<荆楚理工学院,61>
<青海民族大学,46>
<湖南涉外经济学院,23>
<海南软件职业技术学院,8>
<河南经贸职业学院,4>
<江西理工大学,79>
<中国劳动关系学院,16>
<广东药科大学,16>
<仲恺农业工程学院,13>
<湘南学院,34>
<江苏科技大学,90>
<山东英才学院,13>
<天津中德职业技术学院,21>
<云南林业职业技术学院,4>
<江西航空职业技术学院,2>
<玉溪师范学院,22>
<福建信息职业技术学院,15>
<无锡科技职业学院,10>
<广西科技大学,5079>
<北京吉利学院,7>
<江西生物科技职业学院,10>
<安徽职业技术学院,10>
<兰州理工大学技术工程学院,4>
<常熟理工学院,52>
<抚顺职业技术学院,23>
<哈尔滨商业大学,80>
<昆明医科大学,15>
<上海财经大学浙江学院,20>
<云南财经大学,50>
<广东岭南职业技术学院,10>
<南京旅游职业学院,10>
<广西职业技术学院,2250>
<东北大学秦皇岛分校,58>
<天津财经大学,89>
<江西农业大学,40>
<贵州师范大学求是学院,8>
<大庆医学高等专科学校,20>
<北京工商大学,38>
<广西师范学院师园学院,2214>
<河北旅游职业学院,20>
<扬州职业大学,10>
<辽宁中医药大学,10>
<山西大同大学,30>
<延边大学,25>
<泉州信息工程学院,20>
<佳木斯大学,80>
<广东海洋大学寸金学院,160>
<厦门城市职业学院,11>
<北京交通大学海滨学院,24>
<云南国土资源职业学院,15>
<广东轻工职业技术学院,12>
<青岛港湾职业技术学院,23>
<北京建筑大学,32>
<广州科技职业技术学院,8>
<大连理工大学,65>
<山东协和学院,30>
<成都信息工程大学,58>
<南开大学,69>
<广西师范学院,1920>
<山西师范大学,20>
<长治学院,20>
<上饶师范学院,10>
<中南民族大学,629>
<绵阳师范学院,10>
<沈阳药科大学,68>
<华中农业大学,142>
<湖北商贸学院,40>
<广州番禺职业技术学院,56>
<西安财经学院行知学院,20>
<连云港职业技术学院,20>
<宜春学院,24>
<南京大学金陵学院,70>
<河南财经政法大学,38>
<营口理工学院,58>
<安庆师范学院,10>
<天津天狮学院,59>
<河北大学,48>
<南京工业大学浦江学院,70>
<黑龙江司法警官职业学院,20>
<南京师范大学,63>
<重庆大学,171>
<苏州职业大学,24>
<东北农业大学,60>
<衡阳师范学院南岳学院,9>
<大连工业大学艺术与信息工程学院,33>
<河海大学,148>
<北京外国语大学,27>
<湖北工程学院,74>
<吉林交通职业技术学院,5>
<钦州学院,2341>
<成都理工大学,97>
<厦门软件职业技术学院,20>
<湖北工程学院新技术学院,55>
<长沙学院,13>
<广东白云学院,30>
<贵州医科大学,15>
<泉州经贸职业技术学院,10>
<浙江中医药大学滨江学院,20>
<山西医科大学,50>
<福建江夏学院,136>
<福州软件职业技术学院,10>
<山西大学,58>
<湖南财政经济学院,45>
<石河子大学,74>
<广西英华国际职业学院,2097>
<南开大学滨海学院,149>
<浙江大学,24>
<山东畜牧兽医职业学院,25>
